year|docket_number|facts_of_the_case|question
1996|94-1893|"To prevent ""local media monopolies,"" Section 533(b) of the Cable Communications Policy Act of 1984 barred local phone service providers (local exchange carriers or LECs) from directly providing video programming to their local phone service subscribers. The government claimed that because LEC- controlled phone lines could also transmit video signals, allowing LECs to provide video programming would hurt competing cable companies. First, LECs could deny competitors access to their data lines. Second, LECs could offer lower cable prices than competitors by raising the costs of telephone service and using the extra profits to subsidize the costs of cable service.Chesapeake and Potomac Telephone Company of Virginia (Chesapeake) challenged the constitutionality of the statute, pointing out that ""video programming"" is a form of speech protected by the First Amendment. The government argued that the statute's regulation of the cable market had a ""content-neutral"" objective. The District Court ruled that the statute's restrictions were not ""narrowly tailored"" to serve the statute's objective. The U.S. Court of Appeals for the Fourth Circuit affirmed, adding that the statute did not leave open ""ample alternative channels for communication"" between LECs and local residents. The Supreme Court consolidated the case with National Cable Television Assn., Inc. v. Bell Atlantic Corp."|Does 47 U.S.C. 533(b), which bars local telephone companies from directly providing video programming to their local phone service subscribers, violate the First Amendment's protection of free speech?
1996|95-5841|Whren and Brown were driving in a 'high drug area.' Some plainclothes officers, while patrolling the neighborhood in an unmarked vehicle, noticed Whren and Brown sitting in a truck at an intersection stop-sign for an usually long time. Suddenly, without signaling, Whren turned his truck and sped away. Observing this traffic violation, the officers stopped the truck. When they approached the vehicle, the officers saw Whren holding plastic bags of crack cocaine. Whren and Brown were arrested on federal drug charges. Before trial, they moved to suppress the evidence contending that the officers used the traffic violation as a pretext for stopping the truck because they lacked either reasonable suspicion or probable cause to stop them on suspicion of drug dealing. The District Court denied the motion to suppress and convicted the petitioners. The Court of Appeals affirmed. The Supreme Court granted certiorari.|Did the officers conduct an unreasonable search and seizure in violation of the Fourth Amendment?
1996|94-1614|"Under the Constitution's Census Clause, Congress is vested with the responsibility of conducting an ""actual enumeration"" of the American public every ten years, primarily for the purpose of aportioning congressional representation among the states. Congress delegated this responsibility to the Secretary of Commerce who, in the 1990 census, decided not to use a statistical correction, known as the post-enumeration survey (PES), to adjust an undercount in the initial population count. Acting on behalf of several citizens' groups, states, and cities, Wisconsin challenged the Secretary's decision not to use the PES; claiming that it resulted in an undercounting of certain identifiable minority groups."|Did the decision of the Secretary of Commerce not to use the PES in the 1990 census violate the constitutional right of certain minorities to be counted?
1996|95-668|The day after Auciello Iron Works' contract offer was accepted by its union employees' collective-bargaining representative, Auciello disavowed the agreement because of a good-faith doubt, based on knowledge acquired before the offer's acceptance, that a majority of employees supported the Union. The National Labor Relations Board (NLRB) ruled that Auciello's withdrawal was an unfair labor practice in violation of the National Labor Relations Act and ordered that the agreement be reduced to a formal written instrument. The Court of Appeals enforced the order as reasonable after the NLRB issued a supplemental opinion to justify its refusal to consider Auciello's defense of good-faith doubt about the Union's majority status.|May an employer disavow a collective-bargaining agreement because of a good-faith doubt about a union's majority status at the time the contract was made, when the doubt arises from facts known to the employer before its contract offer had been accepted by the union?
1996|95-323|The IRS filed claims in Bankruptcy Court for taxes, interest, and penalties that accrued when Thomas R. Noland, the trustee of the in-debt First Truck Lines, Inc., sought relief under federal Bankruptcy Code. The Bankruptcy Court held that the claims for taxes and interest were the first priority in the case. Consequently, the court subordinated the penalties, to be adjudicated following the taxes and interest, because the penalties were not financial losses for the IRS. The Court of Appeals affirmed the decision.|May a bankruptcy court subordinate government attempts to collect tax penalties?
1996|94-896|After purchasing a new vehicle from an authorized Alabama BMW dealership, Ira Gore, Jr. discovered that his new vehicle had been repainted. He sued BMW's American distributor (BMW), alleging that it committed fraud by failing to inform him that his car had been repainted. The Alabama Circuit Court entered judgment, following a jury verdict, awarding Gore $4,000 in compensatory damages and $4 million in punitive damages. On appeal from the trial judge's denial of BMW's post-trial petition to set aside the punitive damages as 'grossly excessive,' the Alabama Supreme Court ruled that the punitive damages were not so excessive as to violate BMW's Fourteenth Amendment right to due process. Due to a jury calculation error, however, the Alabama Supreme Court reduced Gore's punitive damage award to $2 million. BMW appealed to the Supreme Court.|Assuming that Gore's punitive damage award was grossly excessive, does the Fourteenth Amendment's due process clause protect BMW from paying the award?
1996|94-1941|"The Virginia Military Institute (VMI) boasted a long and proud tradition as Virginia's only exclusively male public undergraduate higher learning institution. The United States brought suit against Virginia and VMI alleging that the school's male-only admissions policy was unconstitutional insofar as it violated the Fourteenth Amendment's equal protection clause. On appeal from a District Court ruling favoring VMI, the Fourth Circuit reversed. It found VMI's admissions policy to be unconstitutional. Virginia, in response to the Fourth Circuit's reversal, proposed to create the Virginia Women's Institute for Leadership (VWIL) as a parallel program for women. On appeal from the District Court's affirmation of the plan, the Fourth Circuit ruled that despite the difference in prestige between the VMI and VWIL, the two programs would offer ""substantively comparable"" educational benefits. The United States appealed to the Supreme Court."|Does Virginia's creation of a women's-only academy, as a comparable program to a male-only academy, satisfy the Fourteenth Amendment's Equal Protection Clause?
1996|94-8769|Tommy L. Rutledge was found guilty of conspiracy to distribute controlled substances and of conducting a continuing criminal enterprise. The District Court convicted Rutledge on both counts. It sentenced him to life imprisonment without possible release on each count. The sentences were to be served concurrently. The Court of Appeals affirmed. It rejected Rutledge's argument that his convictions and concurrent life sentences punished him twice for the same offense.|Can a criminal be given concurrent life sentences for conspiring to distribute drugs and operating a continuing criminal enterprise?
1996|94-1785|"During 1987, Robert F. Lundy and his wife had $10,131 in federal income taxes withheld from their wages. This amount was substantially more than what the Lundys owed in taxes that year, but they did not file their 1987 tax return when it was due, nor did they file a return or claim a refund of the overpaid taxes in the following 2 1/2 years. In 1990, the Commissioner of Internal Revenue mailed Lundy a notice of deficiency for 1987. Subsequently, the Lundys filed their joint 1987 tax return, which claimed a refund of their overpaid taxes. Lundy also filed a petition in the Tax Court seeking a redetermination of the claimed deficiency and a refund. The Commissioner contended that the Tax Court lacked jurisdiction to award Lundy a refund, arguing that if a taxpayer does not file a tax return before the IRS mails the taxpayer a notice of deficiency, the Tax Court can only award the taxpayer a refund of taxes paid within two years prior to the date the notice of deficiency was mailed. The Tax Court agreed, finding also that 2-year ""look-back"" period applies. In reversing, the Court of Appeals found that the applicable look-back period in these circumstances is three years and that the Tax Court had jurisdiction to award a refund."|Can the Tax Court award a refund of taxes paid more than two years prior to the date on which the Commissioner of Internal Revenue mailed the taxpayer a notice of deficiency, when, on the date the notice of deficiency was mailed, the taxpayer had not yet filed a return?
1996|95-388|"After their collective-bargaining agreement expired, the National Football League (NFL) -- a group of football clubs -- and the NFL Players Association -- a labor union -- began to negotiate a new contract. The NFL presented a plan that would permit each club to establish a ""developmental squad"" of substitute players, each of whom would be paid the same $1,000 weekly salary. The union disagreed. When the negotiations reached an impasse, the NFL unilaterally implemented the plan. A number of squad players brought an antitrust suit, claiming that the employers' plan unfairly restrained trade. The District Court awarded damages to the players, but the Court of Appeals reversed that decision."|Are several employers immune from a union anti-trust suit when these employers, bargaining together, unilaterally impose terms on the union if the collective bargaining process reaches an impasse?
1996|95-266|Mary Lu Redmond, a former police officer, received extensive counseling from a licensed clinical social worker after she shot and killed Ricky Allen. Carrie Jaffee, special administrator for Allen, filed suit in federal District Court alleging that Redmond had violated Allen's constitutional rights by using excessive force in the encounter. During the trial, Jaffee sought access to the notes from Redmond's counseling. Redmond's counsel resisted asserting the conversations were protected against involuntary disclosure by a psychotherapist-patient privilege. The District Court judge rejected the argument, but the notes were not released. The judge instructed the jury that they could presume that the contents could have been unfavorable to Redmond. The jury awarded monetary damages. The Court of Appeals reversed the decision. It found that Federal Rule of Evidence 501 prompted the recognition of a psychotherapist-patient privilege.|Can psychotherapists be forced to provide evidence about their patients in federal court cases?
1996|95-1691|This is the consolidation of two cases involving the search and seizure of illicit drugs in automobiles. In Pennsylvania v. Labron 95-1691, the police observed Edwin Labron participating in a number of drug transactions out of his car on a street in Philadelphia. Without a warrant, but with probable cause, the police then found cocaine when they searched the trunk of Labron's car. Ultimately, the Pennsylvania Supreme Court held the search unconstitutional, finding that the automobile exception to the Fourth Amendment's warrant requirement required both the existence of probable cause and the presence of exigent circumstances to justify a warrantless search. In Pennsylvania v. Kilgore 95-1738, a search of Randy Kilgore's truck during a drug raid on his home turned up cocaine. Again, the police did not obtain a warrant, but probable cause existed. Again the Pennsylvania Supreme Court suppressed the evidence seized, holding that Fourth Amendment requires police to obtain a warrant before searching an automobile unless exigent circumstances are present.|Does the Fourth Amendment, as applied to the States through the Fourteenth, require police to obtain a warrant before searching an automobile unless exigent circumstances are present?
1996|95-340|"The United Food and Commercial Workers Union Local 751 filed suit alleging that Brown Group, Inc. began to lay off workers in connection with the closing of one of its plants, Brown Shoe Company, before giving the union the closing notice required by the federal Worker Adjustment and Retraining Notification Act (the WARN Act). The union sought backpay for each of its affected members. Under modern associational standing doctrine, an organization may sue to redress its members' injuries when: 1) its members would otherwise have standing to sue in their own right; 2) the interests it seeks to protect are germane to the organization's purpose; and 3) neither the claim asserted nor the relief requested requires the participation of individual members in the lawsuit. The District Court dismissed the compliant. The Court of Appeals affirmed, holding that ""[e]ach union member who wishes to recover WARN Act damages from Brown Shoe must participate in the suit so that his or her right to damages can be determined and the quantum of damages can be calculated by the court on the basis of particularized proof."" Therefore, the court concluded that the suit was barred because the union failed to meet the third part of the test for asserting associational standing."|May a labor union sue on behalf of its members over alleged violations of the federal Worker Adjustment and Retraining Notification Act?
1996|95-5015|"Larry Grant Lonchar was sentenced to death for murder nine years ago. After the affirmance of Lonchar's conviction and sentence, his sister and brother filed ""next friend"" state habeas corpus petitions. Lonchar opposed both. Lonchar then filed a state habeas corpus petition, which was dismissed. Shortly before Lonchar's scheduled execution, he filed another state habeas corpus petition. When the petition was denied, Lonchar filed an ""eleventh hour"" federal petition, his first, on the day of his scheduled execution. The District Court held that Lonchar's conduct in waiting almost nine years to file his federal petition did not constitute an independent basis for rejecting the petition and granted a stay to permit time for consideration of other grounds for dismissal raised by the State. The court had reasoned that federal Habeas Corpus Rule 9, not some generalized equitable authority to dismiss, governed the case. The Court of Appeals vacated the stay. Setting aside the Rules and traditional habeas doctrine, the court held that equitable doctrines independent of Rule 9 applied and it concluded that Lonchar did not merit equitable relief."|"May a federal court dismiss a first federal habeas petition for general ""equitable"" reasons beyond those embodied in the federal Habeas Corpus Rules?"
1995|94-7448|"Roland Bailey and Candisha Robinson were each convicted of violating 18 U.S.C. Section 924(c)(1), which, in relevant part, imposes a mandatory minimum sentence upon a person who ""uses or carries a firearm"" both ""during and in relation to"" a predicate offense. Bailey's Section 924(c)(1) conviction was based on a loaded pistol which the police found inside a bag in the locked trunk of a car he was driving after they arrested him for possession of illegal drugs. Robinson's Section 924(c)(1) conviction was based on an unloaded, holstered firearm which the police, executing a search warrant, found locked in a trunk in her bedroom closet, along with drugs and money from an earlier controlled buy. The D.C. Circuit, sitting en banc, upheld the Section 924(c)(1) convictions, interpreting ""use"" of a gun in violation of Section 924(c)(1) in accordance with an ""accessibility and proximity"" test."|"Is evidence of the proximity and accessibility of a firearm to drugs or drug proceeds alone sufficient to support a conviction for ""use"" of a firearm during and in relation to a predicate narcotics offense under 18 U.S.C. Section 924(c)(1)?"
1996|95-325|"The Employee Retirement Income Security Act of 1974 obligated CF&I Steel Corporation (CF&I) to make annual funding contributions to pension plans they sponsored. The required contribution for the 1989 plan totaled $12.4 million. CF&I failed to make the payment and petitioned the Bankruptcy Court for Chapter 11 reorganization. The Government filed a proof of claim for tax liability arising under the Internal Revenue Code, 26 U.S.C. Section 4971(a), which imposes a 10 percent ""tax"" on any ""accumulated funding deficiency"" of plans such as CF&I's. The court allowed the claim, but rejected the Government's argument that the claim was entitled to priority as an ""excise tax"" under the Bankruptcy Code. The Bankruptcy Court also subordinated the Section 4971 claim to those of all other general unsecured creditors under the Bankruptcy Code's provision for equitable subordination. The court later approved a reorganization plan for CF&I giving lowest priority (and no money) to claims for non-compensatory penalties. The District Court and the Court of Appeals affirmed."|"Is the Internal Revenue Code's 10% tax liability claim on any ""accumulated funding deficiency"" in pension plans an ""excise tax"" under the Bankruptcy Code? May the Government's tax claims be given a lower priority than competing claims by other creditors in bankruptcy proceedings?"
1996|95-566|James Allen Egelhoff was tried in Montana courts for two counts of homicide. Egelhoff claimed that extreme intoxication rendered him physically incapable of committing or recalling the crimes. Montana law did not allow Egelhoff's intoxicated condition to be considered. Subsequently, Egelhoff was found guilty. The Supreme Court of Montana reversed the decision. It held Egelhoff had a due process right to present all relevant evidence. Moreover, it held that Montana law's denial of such a presentation relieved the state from part of its burden of proof needed to convict Egelhoff.|May a state restrict the elements of a defense in criminal prosecution, consistent with the Fourteenth Amendment Due Process Clause?
1996|95-83|"Three years after complying with a county order to clean up petroleum contamination discovered on its property, KFC Western, Inc. brought an action under the citizen suit provision -- Section 6972 -- of the Resource Conservation and Recovery Act of 1976 (RCRA) to recover its cleanup costs from the Meghrigs. KFC claimed that the contamination had previously posed an ""imminent and substantial endangerment"" to health or the environment and that the Meghrigs were responsible for ""equitable restitution"" under the Act because, as prior owners of the property, they had contributed to the contaminated site. The District Court dismissed the complaint, holding that 6972(a) does not permit recovery of past cleanup costs and that 6972 does not authorize a cause of action for the remediation of toxic waste that does not pose an ""imminent and substantial endangerment"" at the time suit is filed. In reversing, the Court of Appeals disagreed with the District Court on both issues."|May plaintiffs use the federal Resource Conservation and Recovery Act of 1976 to sue and recover money they spent to clean up hazardous waste on their property?
1996|94-1471|Charles Howe and others used to work for Massey-Ferguson, Inc., a farm equipment manufacturer, and a wholly owned subsidiary of the Varity Corporation. These employees all were participants in, and beneficiaries of, Massey-Ferguson's self-funded employee welfare benefit plan, an Employee Retirement Income Security Act of 1974 (ERISA protected plan that Massey- Ferguson administered itself. When certain divisions in Massey-Ferguson stared losing money, Varity decided to transfer them to a separately incorporated subsidiary, Massey Combines. Varity also persuaded the employees of the failing divisions to change employers and benefit plans, conveying the message that employees' benefits would remain secure when they transferred. Ultimately, the employees lost their nonpension benefits. The employees filed an action under ERISA, claim that Varity, through trickery, had led them to withdraw from their old plan and forfeit their benefits. The District Court found that Varity and Massey-Ferguson, acting as ERISA fiduciaries, had harmed plan beneficiaries through deliberate deception, which gave the employees to right to relief, including the reinstatement to the old plan. The Court of Appeals affirmed.|Did the Varity Corporation and Massey-Ferguson, Inc. act their capacity as an Employee Retirement Income Security Act of 1974fiduciary when they significantly and deliberately misled the beneficiaries? By doing so, did Varity and Massey-Ferguson violate the fiduciary obligations that ERISA imposes upon plan administrators? Does ERISA authorize a lawsuit in such cases?
1996|95-865|During the savings and loan crisis of the 1980s, the Federal Home Loan Bank Board encouraged thrifts in good standing and outside investors to take over ailing thrifts in supervisory mergers. The Board agreed to permit acquiring entities to designate the excess of the purchase price over the fair value of identifiable assets as an intangible asset referred to as supervisory goodwill and to count such goodwill and certain capital credits toward the capital reserve requirements imposed by federal regulations. Subsequently, Congress's passage of the Financial Institutions Reform, Recovery, and Enforcement Act of 1989 (FIRREA) forbade thrifts from counting goodwill and capital credits in computing the required reserves. Three thrifts, created through supervisory mergers who consequently ran into financial troubles, each filed suit against the United States for breach of contract. Agreeing with the thrifts, the District Court granted each summary judgment. The court rejected Government's arguments that surrenders of sovereign authority, such as the promise to refrain from regulatory changes, must appear in unmistakable terms in a contract in order to be enforceable and that a public and general sovereign act, such as FIRREA's alteration of capital reserve requirements, could not trigger contractual liability. The Court of Appeals affirmed.|Can the federal government be sued by thrifts that were sent into financial trouble when Congress changed the computation of required reserves after the Federal Home Loan Bank Board encouraged actions based on premise that the rules would not change?
1996|94-1654|Umbehr was an independent trash-hauling contractor for Wabaunsee County, Kansas. He frequently criticized the County's Board of Commissioners (the Board). When the Board voted to terminate his contract, supposedly because the Board grew tired of his constant criticisms, Umbehr filed suit against two of the Board's members. Umbehr alleged that his termination resulted from his criticisms of the Board and, therefore, infringed on his First Amendment right to freedom of speech. On appeal from the District Court's grant of summary judgment to the Board, the Tenth Circuit reversed and the Supreme Court granted Umbehr's petition for certiorari.|Did the Board's termination of Umbehr's contract, presumably as a result of his criticisms, constitute a violation of his First Amendment freedom of speech?
1996|95-559|"Paul Casarotto, a Subway sandwich shop franchisee, sued franchisor Doctor's Associates, Inc. (DAI) and its agent, Nick Lombardi, in a Montana state court when a dispute arose between the parties with regard to a standard form franchise agreement for the operation of the shop. The court stayed the lawsuit pending arbitration pursuant to the arbitration clause set out in ordinary type on page nine of the franchise agreement. In reversing, the Montana Supreme Court held that the arbitration clause was unenforceable because it did not meet the state-law requirement, 27-5-114(4), that ""[n]otice that a contract is subject to arbitration"" be ""typed in underlined capital letters on the first page of the contract."" DAI and Lombardi unsuccessfully argued that the state-law requirement was preempted by the Federal Arbitration Act (FAA), which declares written provisions for arbitration ""valid, irrevocable, and enforceable, save upon such grounds as exist at law or in equity for the revocation of any contract."" The Montana Supreme Court focused on the question of whether the application of 27-5-114(4)'s notice requirement would undermine the FAA's goals and policies. In the Montana court's judgment, the notice requirement did not undermine these goals and policies, for it did not preclude arbitration agreements altogether."|Does the Federal Arbitration Act preempt Montana's first-page notice of arbitration requirement?
1996|94-8729|Bennis's husband was convicted of gross indecency following his sexual activity with a prostitute in the couple's jointly-owned car. The local county prosecutor filed a complaint alleging the car was a public nuisance subject to abatement (i.e., to eliminate or confiscate the car). The Circuit Court entered the abatement order, but the Appeals Court reversed. After granting leave to appeal, the Supreme Court of Michigan reversed the appellate court's decision and re-entered the abatement order. Bennis appealed to the Supreme Court.|Does the abatement order entered against Bennis's car constitute a taking of private property for public use in violation of the property clauses of the Fifth and Fourteenth Amendments?
1996|95-157|"Christopher Lee Armstrong and others were indicted on federal charges of ""conspiring to possess with intent to distribute more than 50 grams of cocaine base (crack) and conspiring to distribute the same."" The Federal Bureau of Alcohol, Tobacco, and Firearms had monitored Armstrong and others prior to their indictment and arrest. Armstrong filed a motion for discovery or dismissal, alleging that he was selected for prosecution because he was black. The District Court granted the discovery order. It ordered the government to provide statistics on similar cases from the last three years. The government indicated it would not comply. Subsequently, the District Court dismissed the case. The government appealed. The Court of Appeals affirmed the dismissal. It held that the proof requirements for a selective-prosecution claim do not require a defendant to demonstrate that the government has failed to prosecute others who are similarly situated."|Must criminal defendants who pursue selective-prosecution claims demonstrate people of other races were not prosecuted for similar crimes?
1996|94-818|During the 1960s, the United States government contracted with several chemical manufacturers, including Hercules Incorporated and Wm. T. Thompson Company, to manufacture the herbicide known as Agent Orange. After health problems arose, Vietnam veterans and their families began filing lawsuits against the manufactures. The manufacturers incurred substantial costs defending, and then settling, the claims. The manufactures then filed suit under the Tucker Act to recover such costs from the Government on theories of contractual indemnification and warranty of specifications provided by the government. Ultimately, the Court of Appeals rejected the theory of implied warranty of specifications and the theory of implied promise to indemnify for liabilities incurred in performing the contracts. The appellate court also held that, by settling, the manufactures had voluntarily assumed liability for which the Government was not responsible.|May the chemical manufacturers of Agent Orange recover costs incurred from defending and settling third-party tort claims arising out of their performance of Government contracts from the Government on alternative theories of contractual indemnification or warranty of specifications provided by the Government?
1996|94-9247|"At his trial on a federal marijuana charge, Charles Carlisle filed a motion for a judgment of acquittal under Federal Rule of Criminal Procedure 29(c) after the jury returned a guilty verdict. The District Court granted the motion even though it was filed one day outside the time limit prescribed by Rule 29(c), which provides that ""[i]f the jury returns a verdict of guilty..., a motion for judgment of acquittal may be made or renewed within 7 days after the jury is discharged or within such further time as the court may fix during the 7-day period."" In reversing and remanding for reinstatement of the verdict and for sentencing, the Court of Appeals held that under Rule 29(c) a district court has no jurisdiction to grant an untimely motion for judgment of acquittal, or to enter such a judgment after submission of the case to the jury."|Does a district court have the authority to grant a post-verdict motion for judgment of acquittal if the motion is filed beyond the seven-day deadline prescribed by Federal Rule of Criminal Procedure 29(c)?
1996|95-345|Alleging that Ursery manufactured marijuana on his property, the United States government initiated criminal proceedings against Ursery and began civil forfeiture proceedings against his property. On appeal from his conviction in District Court, the Court of Appeals reversed on double-jeopardy grounds. The government then initiated a second set of proceedings against Ursery's property, which was reversed on new double-jeopardy grounds. The government appealed this decision to the Supreme Court.|"Do civil property forfeitures (""in rem"" forfeiture) constitute a ""punishment"" in terms of the Fifth Amendment's double jeopardy clause which forbids successive prosecutions and punishment for the same crime?"
1996|95-5207|Byron Keith Cooper was charged with the murder of an 86-year-old man in the course of a burglary. After an Oklahoma jury found him guilty of first-degree murder and recommended punishment by death, the trial court imposed the death penalty. Cooper's competence was considered on five separate occasions, whether he had the ability to understand the charges against him and to assist defense counsel. Oklahoma law presumes that a criminal defendant is competent to stand trial unless he proves his incompetence by clear and convincing evidence. Despite Cooper's bizarre behavior and conflicting expert testimony, he was found competent on separate occasions before and during his trial. In affirming the conviction and sentence, the Oklahoma Court of Criminal Appeals rejected Cooper's argument that the State's presumption of competence, combined with its clear and convincing evidence standard, placed such an onerous burden on him as to violate due process under the Fourteenth Amendment.|May state law presume that defendants are competent to stand trial unless they prove their incompetence by clear and convincing evidence without violating the Due Process Clause of the Fourteenth Amendment?
1996|95-26|"Herbert Markman owns the patent to a system that tracks clothing through the dry-cleaning process using a keyboard and data processor to generate transaction records, including a bar code readable by optical detectors. According to the patent's claim, the portion of the patent document that defines the patentee's rights, Markman's product can ""maintain an inventory total"" and ""detect and localize spurious additions to inventory."" Westview Instruments, Inc.'s product also uses a keyboard and processor and lists dry-cleaning charges on bar-coded tickets that can be read by optical detectors. In an infringement suit, after hearing an expert witness testify about the meaning of the claim's language, a jury found that Westview's product had infringed Markman's patent. However, the District Court directed a verdict for Westview on the ground that its device is unable to track ""inventory"" as that term is used in the claim. In affirming, the Court of Appeals held that the interpretation of claim terms is the exclusive province of the court and that the Seventh Amendment right to a jury trial is consistent with that conclusion."|Is the interpretation of a patent's claim, the portion of the patent document that defines the scope of the patentee's rights, a matter of fact to be decided by jurors?
1996|94-1244|"After the Federal Home Loan Bank Board recommended that Robert Pelletier be replaced because of he was under investigation for potential misconduct relating to the collapse of another financial institution, he was fired as the provisional managing officer of Pioneer Savings and Loan Association. Pelletier then filed suit, seeking damages. John Behrens, the agent responsible for the Federal Home Loan Bank Board's recommendation, asserted a statute-of-limitations defense and claimed qualified immunity from suit on the ground that his actions were taken in a governmental capacity. The District Court rejected Behrens' defense of qualified immunity. On appeal, the Court of Appeals held that denial of qualified immunity is an immediately appealable ""final"" decision, that an official claiming qualified immunity is entitled to only one such pretrial appeal, and, ultimately, affirmed the District Court's rejection of Behrens' qualified immunity. On remand, the District Court denied Behrens' motion for summary judgment, which again claimed qualified immunity. On appeal from the latest denial, the Court of Appeals dismissed it for lack of jurisdiction."|Does a defendant's immediate appeal of an unfavorable qualified-immunity ruling on his motion to dismiss deprive the court of appeals of jurisdiction over a second appeal, also based on qualified immunity, immediately following denial of summary judgment?
1996|94-1664|Petitioners Stacey C. Koon and Laurence M. Powell, Los Angeles police officers, were acquitted on state charges of assault and excessive use of force in the beating of Rodney King during an arrest. They were convicted under 18 U. S. C. Section 242 of violating the victim's constitutional rights under color of law. Although the applicable U.S. Sentencing Guideline, 1992 USSG Section 2H1.4, indicated that they should be imprisoned for 70 to 87 months, the District Court granted them two downward departures from that range. The first was based on the victim's misconduct, which significantly contributed to provoking the offense. The second was based on a combination of four factors: (1) that the petitioners were unusually susceptible to abuse in prison; (2) that the petitioners would lose their jobs and be precluded from employment in law enforcement; (3) that the petitioners had been subject to successive state and federal prosecutions; and (4) that the petitioners posed a low risk of recidivism. The sentencing range after the departures was 30 to 37 months, and the court sentenced each petitioner to 30 months. The Court of Appeals reviewed the departure decisions utilizing a de novo standard and rejected all of them.|Did the Court of Appeals use the wrong standard in deciding whether a federal trial judge had erred in departing from the federal Sentencing Guidelines and giving lighter sentences to two ex-policemen convicted in the beating of Rodney King?
1996|94-12|The Seminole Tribe brought suit against the State of Florida for violating the good faith negotiations requirement of the Indian Gaming Regulatory Act (IGRA). Under the IGRA, the Tribe may engage in gaming (i.e., casino gambling) activities subject to Florida's good faith regulations. Florida moved to dismiss the Tribe's action, alleging that the lawsuit violated Florida's sovereign immunity. On appeal from the District Court's denial of Florida's motion to dismiss the lawsuit, the Court of Appeals reversed, holding that the Eleventh Amendment shielded Florida from federal suit and that under Ex Parte Young, the Tribe may not enforce its right to good faith negotiations by naming Florida's governor as a party to the suit.|Does the Eleventh Amendment provide Florida with immunity from the Tribe lawsuit?
1996|94-1175|"The Expedited Funds Availability Act requires banks to make deposited funds available for withdrawal within specified time periods. The act provides for administrative enforcement and civil liability. After a BankOne Chicago customer deposited a check drawn on a Midwest Bank and Trust account, the check was forwarded, but returned unpaid because BankOne's endorsement stamp was illegible. Subsequently, when the check was resubmitted, the account did not have sufficient funds to cover the withdrawal. Bank One then sued Midwest Bank for failing to meet its obligations prescribed by the Board of Governors of the Federal Reserve System (Board) pursuant to the act. The District Court entered summary judgment for BankOne. The Court of Appeals, vacating the lower court's decision, ordered the action dismissed for lack of subject-matter jurisdiction. The appellate court held that the act authorizes original federal-court jurisdiction only when a ""person other than [a] depository institution"" sues a ""depository institution,"" or when a depositor sues a bank."|Does the Expedited Funds Availability Act provide for federal-court jurisdiction only in suits between customers and banks?
1995|94-1419|Dwayne Bartholomew was convicted in a Washington state court of murder during a robbery. Bartholomew admitted the robbery, but claimed the victim was killed accidentally. At trial, Bartholomew's brother Rodney testified that Bartholomew had told them of his robbery plans and his intent to leave no witnesses. The prosecution never disclosed that Rodney's responses to questions about the robbery and murder weapon, during a pretrial polygraph examination, indicated deception. Bartholomew filed for federal habeas, claiming that because the polygraph results were material under Brady v. Maryland, 373 U.S. 83, which provides that under the due process clause of the Fourteenth Amendment a state prosecutor is required to disclose material evidence favorable to an accused, the prosecution's failure to disclose them justified setting aside the conviction. The District Court denied the writ. In reversing, the Court of Appeals concluded that the polygraph results, although inadmissible under Washington law, were material under Brady because they may have given Bartholomew's counsel known of the results a stronger reason to investigate Rodney's story.|Did a Court of Appeals err in concluding, in habeas corpus proceedings, that the prosecution's failure to disclose to the accused the inadmissible results of a polygraph test of a witness violated due process?
1996|95-809|Lockheed Corporation hired Paul L. Spink when he was sixty-one. He was excluded from participation in Lockheed's retirement program. Later changes in federal law required Lockheed to add Spink to the retirement program. Lockheed added Spink, but refused accrued benefits for the years he had worked at Lockheed before federal law changed. Lockheed also offered an increased pension benefit to employees who would retire early in exchange for their waiver of any employment claims against the corporation. Spink refused to be added without earning the extra benefits for the previous years he had worked. Spink filed suit alleging he should receive full benefits. The District Court dismissed the case for failure to state a claim. The Court of Appeals ruled in favor of Spink. It held the law applied retroactively which would cover Spink.|May a business offer early retirement benefits on the condition that an employee give up the right to sue over any job-related claim? Can the federal government retroactively apply retirement income benefit laws?
1996|95-6|"Railroad cars are connected by couplers consisting of knuckles - clamps that lock with their mates - joined to the ends of drawbars, which are fastened to housing mechanisms on the cars. Cars automatically couple when they come together and one car's open knuckle engages the other car's closed knuckle. The drawbar pivots in its housing, allowing the knuckled end some lateral play to prevent moving cars from derailing on a curved track. As a consequence of this lateral movement, drawbars may remain off-center when cars are uncoupled and must be realigned manually to ensure proper coupling. William J. Hiles injured his back while attempting to realign an off-center drawbar on a car at one of Norfolk & Western Rail Company's yards. Hiles sued in Illinois state court, alleging that Norfolk & Western had violated Section 2 of the federal Safety Appliance Act (SAA), which requires that cars be equipped with ""couplers coupling automatically by impact, and capable of being uncoupled, without the necessity of individuals going between the ends of the vehicles."" The trial court granted Hiles a directed verdict on liability, and the state appellate court affirmed."|Is a railroad liable, under the federal Safety Appliance Act, for injuries incurred by a railroad employee while trying to straighten a misaligned drawbar?
